course,instructor,quarter,year,A,nLetterStudents
POL S   206,MAHDAVI P,Winter,2021,4,6
POL S   189,HOBBS-MORGAN,Winter,2021,7,59
POL S   173,FREEMAN L A,Winter,2021,36,59
POL S   172,BIMBER B,Winter,2021,8,58
POL S   162,NALL C M,Winter,2021,9,50
POL S   160,LIEN P,Winter,2021,12,59
POL S   150A,MASTERSON D T,Winter,2021,12,57
POL S   147,BRUHN K,Winter,2021,18,113
POL S   141,COGGINS B L,Winter,2021,19,60
POL S   127,STRATHMAN B A,Winter,2021,18,156
POL S   126,STRATHMAN B A,Winter,2021,10,60
POL S   110PC,NORRIS A,Winter,2021,4,39
POL S   106NG,STOKES L C,Winter,2021,3,63
POL S    15,STOLL H M,Winter,2021,8,129
POL S    12,SMITH E R,Winter,2021,12,160
POL S     7,NARANG N,Winter,2021,59,226
POL S     6,AHUJA A,Winter,2021,17,114
POL S     1,HOBBS-MORGAN,Winter,2021,5,121
PHYS CS 140VA,ROIG F S,Winter,2021,0,0
PHYS CS  35,BIBILASHVILI,Winter,2021,0,0
PHYS CS  35,KRISTIANSEN K,Winter,2021,0,0
PHYS CS  32,GURUSWAMY S,Winter,2021,0,0
PHYS CS  32,KRISTIANSEN K,Winter,2021,0,0
PHYS CS  15B,JAYICH A M,Winter,2021,0,0
PHYS    596,CRAIG N J,Winter,2021,0,0
PHYS    596,HOWELL D A,Winter,2021,0,0
PHYS    596,JAYICH ANIA,Winter,2021,0,0
PHYS    596,MAZIN B A,Winter,2021,0,0
PHYS    596,SHERWIN M S,Winter,2021,0,0
PHYS    596,WELD D M,Winter,2021,0,0
PHYS    596,YOUNG A F,Winter,2021,0,0
PHYS    260J,CARLSON J M,Winter,2021,0,0
PHYS    260G,STUART D D,Winter,2021,0,0
PHYS    250,SHRAIMAN B I,Winter,2021,0,6
PHYS    235,NERELLA T,Winter,2021,3,6
PHYS    231B,HOROWITZ G,Winter,2021,9,15
PHYS    229A,CRAIG N J,Winter,2021,14,17
PHYS    225B,RICHMAN J D,Winter,2021,2,6
PHYS    223B,LUDWIG A W,Winter,2021,5,12
PHYS    221B,SREDNICKI M,Winter,2021,6,18
PHYS    219,MARCHETTI M,Winter,2021,20,46
PHYS    217B,VIJAY K,Winter,2021,4,7
PHYS    215B,FISHER M P,Winter,2021,11,31
PHYS    210A,EARDLEY D M,Winter,2021,20,36
PHYS    199,LUBIN P,Winter,2021,7,9
PHYS    150,STUART D D,Winter,2021,5,9
PHYS    150,ZEE A,Winter,2021,13,28
PHYS    145L,LUBIN P,Winter,2021,0,0
PHYS    135,SAFINYA C R,Winter,2021,14,16
PHYS    132,BRANDT T D,Winter,2021,10,67
PHYS    129L,MAZIN B A,Winter,2021,24,51
PHYS    128AL,LUO X,Winter,2021,8,45
PHYS    127BL,KOUTROULAKIS,Winter,2021,19,22
PHYS    119B,PINCUS P A,Winter,2021,7,28
PHYS    115B,LIPPINCOTT W,Winter,2021,22,147
PHYS    115A,DONG X,Winter,2021,8,54
PHYS    110B,WELD D M,Winter,2021,25,90
PHYS    104,BLAES O M,Winter,2021,26,125
PHYS    102,MORRISON D R,Winter,2021,14,53
PHYS    101,CARLSON J M,Winter,2021,17,88
PHYS     98,BIBILASHVILI,Winter,2021,13,18
PHYS     98,GURUSWAMY S,Winter,2021,9,10
PHYS     24,BERENSTEIN D,Winter,2021,24,128
PHYS     21,BIBILASHVILI,Winter,2021,4,116
PHYS      6BL,BERENSTEIN D,Winter,2021,168,516
PHYS      6BL,POPESCU P F,Winter,2021,168,516
PHYS      6B,FREUND E G,Winter,2021,118,539
PHYS      6AL,BERENSTEIN D,Winter,2021,87,375
PHYS      6AL,POPESCU P F,Winter,2021,87,375
PHYS      6A,GELLER R M,Winter,2021,127,459
PHYS      4L,FYGENSON D K,Winter,2021,39,100
PHYS      4L,POPESCU P F,Winter,2021,108,265
PHYS      4,KRISTIANSEN K,Winter,2021,70,258
PHYS      3L,POPESCU P F,Winter,2021,24,92
PHYS      3,POPESCU P F,Winter,2021,20,124
PHYS      1,FREEDMAN R A,Winter,2021,32,433
PHYS      1,KOUTROULAKIS,Winter,2021,38,96
PHIL    500,BARRETT T W,Winter,2021,0,0
PHIL    296D,ZIMMERMAN A Z,Winter,2021,2,3
PHIL    284G,ROBERTSON T,Winter,2021,4,7
PHIL    247,FERNANDEZ P A,Winter,2021,2,4
PHIL    184,ROBERTSON T,Winter,2021,9,16
PHIL    176,THORNTON S A,Winter,2021,5,33
PHIL    160,ZYLSTRA S J,Winter,2021,7,36
PHIL    156,TSOUNA V,Winter,2021,12,43
PHIL    154,MCKIRAHAN R D,Winter,2021,4,36
PHIL    150D,FALVEY K T,Winter,2021,3,12
PHIL    150A,MASON E J,Winter,2021,6,31
PHIL    147,FERNANDEZ P A,Winter,2021,2,26
PHIL    145,JARRETT G C,Winter,2021,9,31
PHIL    128,MASON E J,Winter,2021,12,33
PHIL    124D,HUMPHREY S F,Winter,2021,4,25
PHIL    100D,ZIMMERMAN A Z,Winter,2021,18,99
PHIL    100B,FALVEY K T,Winter,2021,10,86
PHIL     20B,ZYLSTRA S J,Winter,2021,20,106
PHIL      7,LEBRUN A S,Winter,2021,36,116
PHIL      4,BAGWELL J N,Winter,2021,62,261
PHIL      3,BARRETT T W,Winter,2021,154,362
PHIL      1,BRITTON C J,Winter,2021,55,257
MUS A   242,KUZIN M,Winter,2021,0,5
MUS A   240,GIBSON S E,Winter,2021,6,6
MUS A   238P,BAYRAKDARIAN,Winter,2021,2,7
MUS A   236,LAMARTINE N C,Winter,2021,7,7
MUS A   170V,BELL V R,Winter,2021,0,6
MUS A   170J,NORTH R H,Winter,2021,2,5
MUS A   147S,NATHAN J S,Winter,2021,5,8
MUS A   142,KUZIN M,Winter,2021,5,6
MUS A   137,LAMARTINE N C,Winter,2021,5,6
MUS A   136,LAMARTINE N C,Winter,2021,8,9
MUS A   134,BAMBACH P A,Winter,2021,9,9
MUS A    47S,NATHAN J S,Winter,2021,5,8
MUS A    43,FELBER J,Winter,2021,11,11
MUS A    42,KUZIN M,Winter,2021,13,16
MUS A    36,LAMARTINE N C,Winter,2021,7,8
MUS A    34,BAMBACH P A,Winter,2021,11,11
MUS  CS 105,GIBSON S E,Winter,2021,0,0
MUS  CS 105,WATTS A A,Winter,2021,0,0
MUS  CS 102,HOGAN L A,Winter,2021,0,0
MUS  CS 101,HOGAN L A,Winter,2021,0,0
MUS  CS 101,WATTS A A,Winter,2021,0,0
MUS     593,SPRIGGE M A,Winter,2021,0,0
MUS     502,KATZ D H,Winter,2021,0,0
MUS     502,KISLENKO N,Winter,2021,0,0
MUS     282,TCHAROS S S,Winter,2021,7,8
MUS     273,BOURNE J E,Winter,2021,5,5
MUS     256,BALLERINO J M,Winter,2021,4,7
MUS     250B,LEVY B R,Winter,2021,7,7
MUS     203MT,BOURNE J E,Winter,2021,0,0
MUS     188,COOLEY T,Winter,2021,0,0
MUS     182,TCHAROS S S,Winter,2021,4,11
MUS     176,COOLEY T,Winter,2021,2,12
MUS     175G,MARCUS S L,Winter,2021,14,30
MUS     168P,HELLIER-TINOC,Winter,2021,0,9
MUS     160B,LEVY B R,Winter,2021,4,12
MUS     120A,KUZIN M,Winter,2021,4,7
MUS     116,PAUL D C,Winter,2021,9,32
MUS     114,HOLTON J D,Winter,2021,40,111
MUS     109LB,ENGART H S,Winter,2021,11,11
MUS     109LB,ROADS C,Winter,2021,11,11
MUS     101B,THOLL A A,Winter,2021,5,13
MUS      88,HOCK M A,Winter,2021,4,6
MUS      33,ASCHE C B,Winter,2021,5,8
MUS      31X,KISLENKO N,Winter,2021,8,10
MUS      31B,KISLENKO N,Winter,2021,4,5
MUS      27C,FELBER J,Winter,2021,12,12
MUS      27B,BAMBACH P A,Winter,2021,5,5
MUS      26B,KLOETZEL J M,Winter,2021,7,7
MUS      20C,BRECHER B H,Winter,2021,5,5
MUS      20B,BRECHER B H,Winter,2021,6,7
MUS      20A,BRECHER B H,Winter,2021,5,8
MUS      17,MUNK E N,Winter,2021,39,136
MUS      15,FISCHER J P,Winter,2021,230,419
